sample,classification,gene
CC.CHM.1341,Absent,HER2
CC.CHM.1347,Absent,HER2
CC.CHM.1355,Absent,HER2
CC.CHM.1361,Absent,HER2
CC.HAM.0369,Absent,HER2
CC.HAM.0374,Absent,HER2
CC.HAM.0379,Absent,HER2
CC.HAM.0383,Absent,HER2
CC.HAM.0385,Absent,HER2
CC.HAM.0387,Absent,HER2
CC.HAM.0392,Absent,HER2
CC.HAM.0394,Absent,HER2
CC.HAM.0396,Absent,HER2
CC.HAM.0402,Absent,HER2
CC.HAM.0406,Absent,HER2
CC.HAM.0407,Absent,HER2
CC.HAM.0422,Absent,HER2
CC.HAM.0423,Absent,HER2
CC.HAM.0424,Absent,HER2
CC.HAM.0427,Absent,HER2
CC.HAM.0429,Absent,HER2
CC.HAM.0432,Absent,HER2
CC.HAM.0435,Absent,HER2
CC.HAM.0438,Absent,HER2
CC.HAM.0442,Absent,HER2
CC.HAM.0446,Absent,HER2
CC.HAM.0448,Absent,HER2
CC.HAM.0449,Absent,HER2
CC.HAM.0450,Absent,HER2
CC.HAM.0453,Absent,HER2
CC.HAM.0454,Absent,HER2
CC.HAM.0458,Absent,HER2
CC.HAM.0459,Absent,HER2
CC.HAM.0461,Absent,HER2
CC.JGH.0469,Absent,HER2
CC.JGH.0487,Absent,HER2
CC.JGH.0492,Absent,HER2
CC.JGH.0499,Absent,HER2
CC.JGH.0500,Absent,HER2
CC.JGH.0506,Absent,HER2
CC.JGH.0508,Absent,HER2
CC.JGH.0510,Absent,HER2
CC.JGH.0511,Absent,HER2
CC.JGH.0515,Absent,HER2
CC.JGH.0523,Absent,HER2
CC.JGH.0525,Absent,HER2
CC.KAM.1089,Absent,HER2
CC.LAV.0570,Absent,HER2
CC.LAV.0577,Absent,HER2
CC.LAV.0578,Absent,HER2
CC.LAV.0586,Absent,HER2
CC.LAV.0587,Absent,HER2
CC.LAV.0590,Absent,HER2
CC.LAV.0598,Absent,HER2
CC.LAV.0600,Absent,HER2
CC.LAV.0615,Absent,HER2
CC.LAV.0616,Absent,HER2
CC.LAV.0630,Absent,HER2
CC.LAV.0647,No Data,HER2
CC.LAV.0660,Absent,HER2
CC.LAV.0664,Absent,HER2
CC.LAV.0671,Absent,HER2
CC.LAV.0681,Absent,HER2
CC.LAV.0687,Absent,HER2
CC.LAV.0698,Absent,HER2
CC.LAV.0699,Absent,HER2
CC.LAV.0719,Absent,HER2
CC.LAV.0725,Absent,HER2
CC.LAV.0726,Absent,HER2
CC.LGH.0979,Absent,HER2
CC.LGH.0989,Absent,HER2
CC.LGH.0992,Absent,HER2
CC.NSH.0235,Absent,HER2
CC.NSH.0236,Absent,HER2
CC.NSH.0243,Absent,HER2
CC.NSH.0253,Absent,HER2
CC.NSH.0254,Absent,HER2
CC.NSH.0269,Absent,HER2
CC.NSH.0279,Absent,HER2
CC.NSH.0285,Absent,HER2
CC.NSH.0296,Absent,HER2
CC.NSH.0299,Absent,HER2
CC.NSH.0309,Absent,HER2
CC.NSH.0338,Absent,HER2
CC.NSH.0356,Absent,HER2
CC.PEN.1045,Absent,HER2
CC.RCH.1120,Absent,HER2
CC.RCH.1122,Absent,HER2
CC.RCH.1130,Absent,HER2
CC.RJH.1313,Absent,HER2
CC.RJH0119,Absent,HER2
CC.RJH0132,Absent,HER2
CC.RJH0175,Absent,HER2
CC.RJH0178,Absent,HER2
CC.RJH0182,Absent,HER2
CC.RJH0185,Absent,HER2
CC.RJH0201,Absent,HER2
CC.SMH.0751,Absent,HER2
CC.SPH.1066,Absent,HER2
CC.SSK0053,Absent,HER2
CC.SSK0060,Absent,HER2
CC.SSK0062,Absent,HER2
CC.SSK0088,Absent,HER2
CC.SSK0089,Absent,HER2
CC.SSK0097,Absent,HER2
CC.SSK0099,Absent,HER2
CC.SSK0103,Absent,HER2
CC.SSK0109,Absent,HER2
CC.SUN.0808,Absent,HER2
CC.SUN.0819,Absent,HER2
CC.SUN.0820,Absent,HER2
CC.SUN.0822,Absent,HER2
CC.SUN.0825,Absent,HER2
CC.SUN.0827,Absent,HER2
CC.SUN.0830,Absent,HER2
CC.SUN.0833,Absent,HER2
CC.SUN.0838,Absent,HER2
CC.SUN.0840,Absent,HER2
CC.SUN.0843,Absent,HER2
CC.SUN.0845,Absent,HER2
CC.SUN.0848,Absent,HER2
CC.SUN.0865,Absent,HER2
CC.SUN.0868,Absent,HER2
CC.SUN.0869,Absent,HER2
CC.SUN.0870,Absent,HER2
CC.SUN.0873,Absent,HER2
CC.SUN.0876,Absent,HER2
CC.SUN.0877,Absent,HER2
CC.SUN.0885,Absent,HER2
CC.SUN.0888,Absent,HER2
CC.SUN.0903,Absent,HER2
CC.SUN.0907,Absent,HER2
CC.SUN.0908,Absent,HER2
CC.SUN.0909,Absent,HER2
CC.SUN.0924,Absent,HER2
CC.SUN.0931,Absent,HER2
CC.SUN.0932,Absent,HER2
CC.SUN.0942,Absent,HER2
CC.SUN.0944,Absent,HER2
CC.SUN.0946,Absent,HER2
CC.SUN.0947,Absent,HER2
CC.SUN.0951,Absent,HER2
CC.SUN.0953,Absent,HER2
CC.SUN.0954,Absent,HER2
CC.SUN.0960,Absent,HER2
CC.SUN.0961,Absent,HER2
CC.SUN.0967,Absent,HER2
CC.SUN.0972,Absent,HER2
CC.SUN.0974,Absent,HER2
CC.SUN.0975,Absent,HER2
CC.VER.1146,Absent,HER2
CC.VGH.0036.T,Absent,HER2
CC.VGH.0041.T,Absent,HER2
CC.VGH.1168,Absent,HER2
CC.VGH.1209.T,Absent,HER2
CC.VGH.1210.T,Absent,HER2
CC.VGH.1215.T,Absent,HER2
CC.VGH.1217,Absent,HER2
CC.VGH.1218.T,Absent,HER2
CC.VGH.1225,Absent,HER2
CC.VGH.1227.T,Absent,HER2
CC.VGH.1230,Absent,HER2
CC.VGH.1253,Absent,HER2
CC.VGH.1258,Absent,HER2
CC.VGH.1295,Absent,HER2
CC.WPG.1392,Absent,HER2
CC.WPG.1393,Absent,HER2
CC.WPG.1405,Absent,HER2
CC.WPG.1412,Absent,HER2
CC.WPG.1418,Absent,HER2
VOA1081A,Absent,HER2
VOA1082B,Absent,HER2
VS06.13266.C8,Present,HER2
VS07.16094.D14,Absent,HER2
VS09.13515.A7,Absent,HER2
VS09.16339.B8,Absent,HER2
VS13.19263,Absent,HER2
YW.EC002,Absent,HER2
YW.EC022,Absent,HER2
YW.EC025,Absent,HER2
YW.EC052,Absent,HER2
CC.CHM.1353,Absent,HER2
CC.HAM.0405,Absent,HER2
CC.LAV.0646,Absent,HER2
CC.SUN.0859,No Data,HER2
CC.SUN.0918,No Data,HER2
YW.EC003,Absent,HER2